"","noise","algorithm","Accuracy","Kappa","Time","Description"
"1",40,"glmnet",0.5655,0.2871,148.019999999999,"glmnet"
"2",40,"rpart2",0.562,0.2888,8.02299999999923,"CART"
"3",40,"rf",0.5669,0.2982,1686.3,"Random Forest"
"4",40,"knn",0.5307,0.2346,131.614,"k-Nearest Neighbors"
"5",40,"svmLinear",0.5681,0.2913,1385.847,"Support Vector Machines with Linear Kernel"
"6",40,"nb",0.5621,0.281,45.7250000000004,"Naive Bayes"
