"","noise","algorithm","Accuracy","Kappa","Time","Description"
"1",10,"glmnet",0.8407,0.7099,220.618,"glmnet"
"2",10,"rpart2",0.8423,0.7174,7.29299999999989,"CART"
"3",10,"rf",0.8574,0.7438,1453.731,"Random Forest"
"4",10,"knn",0.788,0.6098,130.298,"k-Nearest Neighbors"
"5",10,"svmLinear",0.8473,0.7233,546.76,"Support Vector Machines with Linear Kernel"
"6",10,"nb",0.834,0.7013,44.6170000000002,"Naive Bayes"
