"","noise","algo","time","kappa","accuracy"
"1",0,"rpart2",30.9521579742432,0.817939783243097,0.903709989761484
"2",0,"rpart",35.9508788585663,0.867992037878764,0.929410013771764
"3",10,"rpart2",36.9345850944519,0.669600120256893,0.81829999872732
"4",10,"rpart",47.1008801460266,0.709720085552876,0.83889999313556
